1708150239.548825 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708150479.185217 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:00.05 test-cpu-determinism.clogt.exe
1708150480.406988 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   4:01.27 test-cpu-determinism.clogt.exe
1708150481.628135 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:02.49 test-cpu-determinism.clogt.exe
1708150482.837221 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   4:03.70 test-cpu-determinism.clogt.exe
1708150484.044048 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:04.91 test-cpu-determinism.clogt.exe
1708150485.282367 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:06.14 test-cpu-determinism.clogt.exe
1708150486.494435 4  98.4  102431 root       0 -20    8380   1104   1000 R   0.0   4:07.36 test-cpu-determinism.clogt.exe
1708150487.704760 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:08.57 test-cpu-determinism.clogt.exe
1708150488.911355 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   4:09.77 test-cpu-determinism.clogt.exe
1708150490.125376 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:10.99 test-cpu-determinism.clogt.exe
1708150490.125444 4   0.8   64015 root      20   0       0      0      0 I   0.0   0:00.43 [kworker/4:2-mm_percpu_wq]
1708150491.331213 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   4:12.19 test-cpu-determinism.clogt.exe
1708150492.534413 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:13.40 test-cpu-determinism.clogt.exe
1708150493.747222 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:14.61 test-cpu-determinism.clogt.exe
1708150494.969850 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:15.84 test-cpu-determinism.clogt.exe
1708150496.206712 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   4:17.08 test-cpu-determinism.clogt.exe
1708150497.423735 4  99.2  102431 root       0 -20    8380   1104   1000 R   0.0   4:18.29 test-cpu-determinism.clogt.exe
1708150498.637427 4  99.9  102431 root       0 -20    8380   1104   1000 R   0.0   4:19.50 test-cpu-determinism.clogt.exe
