1708140731.711486 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140933.930292 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:22.42 test-cpu-determinism.clogt.exe
1708140934.983797 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:23.48 test-cpu-determinism.clogt.exe
1708140936.038291 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:24.53 test-cpu-determinism.clogt.exe
1708140937.098304 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140937.098330 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:25.60 test-cpu-determinism.clogt.exe
1708140938.151806 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:26.65 test-cpu-determinism.clogt.exe
1708140939.229176 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:27.72 test-cpu-determinism.clogt.exe
1708140940.282744 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:28.78 test-cpu-determinism.clogt.exe
1708140941.335837 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:29.83 test-cpu-determinism.clogt.exe
1708140942.391382 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:30.89 test-cpu-determinism.clogt.exe
1708140943.457465 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:31.95 test-cpu-determinism.clogt.exe
1708140944.524868 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:33.02 test-cpu-determinism.clogt.exe
1708140945.584933 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:34.08 test-cpu-determinism.clogt.exe
1708140946.638630 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:35.13 test-cpu-determinism.clogt.exe
1708140947.692401 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:36.18 test-cpu-determinism.clogt.exe
1708140948.746555 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:37.24 test-cpu-determinism.clogt.exe
1708140949.802470 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   3:38.29 test-cpu-determinism.clogt.exe
1708140950.850685 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:39.34 test-cpu-determinism.clogt.exe
1708140951.902351 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:40.39 test-cpu-determinism.clogt.exe
1708140952.958371 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:41.45 test-cpu-determinism.clogt.exe
1708140954.007025 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:42.50 test-cpu-determinism.clogt.exe
1708140955.054467 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:43.55 test-cpu-determinism.clogt.exe
1708140956.102527 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   3:44.59 test-cpu-determinism.clogt.exe
1708140957.150339 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:45.64 test-cpu-determinism.clogt.exe
1708140958.198248 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   3:46.69 test-cpu-determinism.clogt.exe
